MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,num_stars,num_genres
Rotten,2018.0,Documentary,0.6931818181818181,"Rotten dives deep into the food production underworld to expose the corruption, waste and real dangers behind your everyday eating habits.","Stars: Latif Nasser,  Casey Cox,  Stanley Crawford,  Leslie Lopatofsky",0.0019410130511966273,0.2812646492004795,0.012192218408364914,4,1
Tout simplement noir,2020.0,Comedy,0.5909090909090908,A politically incorrect comedy about the role of black people in French society.,"Directors: John Wax,  Jean-Pascal Zadi |      Stars: Jean-Pascal Zadi,  Caroline Anglade,  Fary,  Tonton Marcel",0.0008400354227584803,0.46356581071930886,0.012192218408364914,5,1
Ugly Delicious,2018.0,Documentary,0.7613636363636364,Chef David Chang travels around the world tasting food from different cultures.,"Stars: David Chang,  Peter Meehan,  Aziz Ansari,  Rene Redzepi",0.0019048197251292016,0.25522162612636107,0.012192218408364914,4,1
Anatomy of a Love Seen,2014.0,"Drama, Romance",0.40909090909090906,"Two young actresses fall in love with each other while filming a lesbian love scene, then break up months later, and then are forced to reunite in order to re-shoot the love scene for the movie's distribution.","Director: Marina Rice Bader |      Stars: Sharon Hinnendael,  Jill Evyn,  Constance Brenneman,  Marina Rice Bader",0.0014489005693443695,0.4114797645710719,0.012192218408364914,4,2
Lou,,"Crime, Drama, Mystery",0.6818181818181818,A tough elderly woman living on a remote island is recruited by a neighbor to help her find her kidnapped daughter.,"Director: Anna Foerster |      Stars: Jurnee Smollett,  Allison Janney,  Logan Marshall-Green,  Matt Craven",0.0004597136173886749,0.307307672274598,0.012192218408364914,4,3
Destry,1954.0,Western,0.6363636363636364,"A dishonest mayor and powerful criminal dominate a small western town. But when the town's sheriff dies under mysterious circumstances, Tom Destry, son of a famed gunman, is called in to put an end to the corruption.","Director: George Marshall |      Stars: Audie Murphy,  Mari Blanchard,  Lyle Bettger,  Thomas Mitchell",0.0007664812439762924,0.48960883379342734,0.012192218408364914,4,1
Home Is Where the Killer Is,2019.0,Thriller,0.375,"Nicole Turner has seen better times. Having just survived a health scare and painful breakup with her boyfriend Kyle, she is now facing eviction. When she finds a room for rent with former ...                See full summary »","Director: Kaila York |      Stars: Stacy Haiduk,  Richard Speight Jr.,  Kelly Kruger,  Beth Littleford",0.0002807901586843843,0.44793999687483776,0.012192218408364914,4,1
Dakteo Peurijeuneo,2019.0,"Drama, Mystery, Thriller",0.7613636363636364,"Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. ...                See full summary »","Stars: Byeong-cheol Kim,  Min Namkoong,  Nara,  Choi Wonyoung",0.00025743962573765796,0.17709255690400563,0.012192218408364914,4,3
Börü,2018.0,"Action, Thriller, War",0.8068181818181817,"Turkey in the spring of 2014. A time when the enemies are growing on the border, the circle of danger inside is becoming narrower. The Republic of Turkey faces the greatest threats of ...                See full summary »","Stars: Ahu Türkpençe,  Serkan Çayoglu,  Emir Benderlioglu,  Murat Arkin",0.003854005462857183,0.4114797645710719,0.012192218408364914,4,3
Naeil Geudaewa,2017.0,"Fantasy, Romance",0.7272727272727273,"The drama tells the story of Yoo So-joon, who can travel through time by a subway. After seeing his future-self living miserably, Joon decides to marry Ma Rin in order to avoid that fate. As time passes, he learns to love her selflessly.","Stars: Lee Jehoon,  Shin Min-a,  Kang Ki-Doong,  Seung-gil Jeong",0.0004442438893114687,0.307307672274598,0.012192218408364914,4,2
The Present,2020.0,"Short, Drama",0.7386363636363635,"On his wedding anniversary, Yusef and his young daughter set out in the West Bank to buy his wife a gift. Between soldiers, segregated roads and checkpoints, how easy would it be to go shopping?","Director: Farah Nabulsi |      Stars: Saleh Bakri,  Maryam Kanj,  Mariam Basha",0.0014991042151798312,0.11979790614094499,0.012192218408364914,3,2
"The Mind, Explained",2019.0,Documentary,0.7840909090909091,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.","Stars: Emma Stone,  Ali Mattu,  Melanie Mignucci,  Octavian C. Mihai",0.0025965792636759694,0.0989634876816502,0.012192218408364914,4,1
Challenger: The Final Flight,2020.0,"Documentary, History",0.7727272727272727,"Four-part docuseries on the 1986 Challenger space shuttle disaster, unpacking an indelible moment for a generation of Americans.","Stars: June Scobee Rodgers,  William Harwood,  Frederick D. Gregory,  John Zarrella",0.0034436198463184678,0.9271316214386177,0.012192218408364914,4,2
